Ad ID,Ad name,Ad set name,Reach,Impressions,Frequency,Currency,Amount spent,Attribution setting,Video ID,Reporting starts,Reporting ends,Facebook Video Link,Normalized_Spend_USD,Visits,Unique visits,Suspicious Visits Percentages,Conversions,CTR,Unique Visit %,Calculated_CPA,CR%
120212798318590495,Script_1 ( rejeted Ad & fix it ) ( Please do not turn it on again ),14th Nov - Packaging Test 2 - 1-5,5152399,15626515,3.03286197,USD,480014.13,"7-day click, 1-day view, or 1-day engaged-view",,2025-01-01,2025-12-31,No Video ID Found,480014.13,138976.0,120485.0,0.011074,8517.0,0.0,0.866948,56.35953152518493,6.128396269859544
120200679252690101,036_Jim_Short_hook_2,15th Nov - Jim Short 2 - 34-44,2931501,9238852,3.1515773,INR,26204007.56,7-day click or 1-day view,731741365645554.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/731741365645554,314448.09072,83140.0,72243.0,0.012172,5176.0,0.0,0.868932,60.75117672333848,6.2256434929035365
120225464611440375,Script_AR_12,26th May - Aria Script Test 1 V3 - 11-20,2825288,7834748,2.77307942,USD,204429.52,"7-day click, 1-day view, or 1-day engaged-view",1094150299209410.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1094150299209410,204429.52,57081.0,51251.0,0.009688,3829.0,0.0,0.897864,53.38979367981196,6.708011422364709
120223731761640495,Actor_1_Script_21,Actor Pack V3 Script 21 - CC1 Orig - 1-11,1632049,5403876,3.31109912,USD,188954.81,"7-day click, 1-day view, or 1-day engaged-view",1184349859836154.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1184349859836154,188954.81,47421.0,41632.0,0.007022,3421.0,0.0,0.877923,55.23379421221865,7.214103456274647
120231033810960495,67_Script_9_(More_ideas),27th Aug - Aria - Script 9 - More Ideas - 51-77,3235693,6123507,1.89248702,USD,182022.38,1-day click,2018240125379838.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/2018240125379838,182022.38,46811.0,43168.0,0.013843,3035.0,0.0,0.922176,59.974425041186166,6.483518831043986
120210128954240101,56_AI_Script_Hook_18,24th June - AI Video 18 V12 - Hook Test 2 - 56-66,1996058,4247846,2.12811752,INR,13969300.87,7-day click or 1-day view,3900135583644507.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/3900135583644507,167631.61044,37462.0,33813.0,0.014628,2540.0,0.0,0.902595,65.99669702362205,6.780203939992526
120223735951240495,Actor_20_Script_21,7th May - Actor Pack V3 Script 21 - CC1 New - 12-22,1420975,4119517,2.89907775,USD,152401.79,"7-day click, 1-day view, or 1-day engaged-view",1229599398818075.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1229599398818075,152401.79,36993.0,32639.0,0.010488,2588.0,0.0,0.882302,58.887863214837715,6.995918146676399
120213074073070495,Script_10,26th Nov - Packaging Test 3 - 6-10,3479244,5930146,1.70443522,USD,139293.54,"7-day click, 1-day view, or 1-day engaged-view",1114768456935074.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1114768456935074,139293.54,48669.0,43470.0,0.014958,2803.0,0.0,0.893176,49.694448804851945,5.759312909655017
120231453835540375,60_Script_7_(Video_Scripts_June_5),27th Aug - Aria - Script 7 - More Ideas - 51-77,1657647,3153084,1.90214443,USD,119431.98,"7-day click, 1-day view, or 1-day engaged-view",668434106269395.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/668434106269395,119431.98,24638.0,22365.0,0.006535,2167.0,0.0,0.907744,55.11397323488694,8.795356765971265
120223735526940495,Actor_7_Script_21,7th May - Actor Pack V3 Script 21 - CC1 New - 1-11,1046248,3041450,2.90700675,USD,100300.45,"7-day click, 1-day view, or 1-day engaged-view",1451344582892425.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1451344582892425,100300.45,29573.0,26341.0,0.010753,1671.0,0.0,0.890711,60.024207061639736,5.650424373584013
120225239289140719,Script_15_Aria,23rd May - Aria Script Test 1 - 11-20,1464613,2880522,1.96674616,INR,8130466.33,"7-day click, 1-day view, or 1-day engaged-view",1213793103613683.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1213793103613683,97565.59596,32772.0,28250.0,0.015013,2046.0,0.0,0.862016,47.68601953079179,6.243134383009886
120222294043470375,AI_Actor_10_Script_21,24th April - Actor Pack V3 Script 21 - C5 - 1-11,1235830,2798002,2.26406706,USD,95961.49,"7-day click, 1-day view, or 1-day engaged-view",1750766775477715.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1750766775477715,95961.49,24889.0,22314.0,0.012013,1578.0,0.0,0.896541,60.81209759188847,6.340150267186308
120222298520090375,Actor_1_Script_21,24th April - Actor Pack V3 Script 21 - C7 Orig - 1-11,1437942,2737960,1.90408236,USD,92431.34,"7-day click, 1-day view, or 1-day engaged-view",979605684349773.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/979605684349773,92431.34,20769.0,18733.0,0.011652,1558.0,0.0,0.901969,59.32691912708601,7.501564832201839
120213672059430719,Hook 15 - Retest ( rejected Ad & fix it ),Ric Flair 30 Sec - Hook 15 - No Scroll Stopper,1500596,2594662,1.72908764,INR,7322076.03,1-day click,,2025-01-01,2025-12-31,No Video ID Found,87864.91236,20027.0,18215.0,0.019823,1630.0,0.0,0.909522,53.90485420858896,8.139012333349978
120233696301060375,8_Script_21_(Wife_POV_Scripts_v2),9th Oct - Wife POV V2 - NO-1 Script 21 - AI Variants - 1-10,1567566,3316270,2.11555367,USD,85306.93,"7-day click, 1-day view, or 1-day engaged-view",786391557561230.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/786391557561230,85306.93,27186.0,25115.0,0.009233,1666.0,0.0,0.923821,51.204639855942375,6.128154197013169
120213644333390719,Script_5 - 2,15th Nov - Packaging Test 2 - V2 - 1-5,1050764,2696074,2.56582258,INR,6848556.32,7-day click or 1-day view,587924550351096.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/587924550351096,82182.67584000001,20293.0,17698.0,0.00887,1549.0,0.0,0.872123,53.05531041962557,7.6331740008870055
120232094264100375,Script_31_Wife_POV_V2,9th Sep - Aria - NO-4 - Wife POV V2 - 26-32,679884,1754096,2.57999306,USD,80692.43,"7-day click, 1-day view, or 1-day engaged-view",661855463151901.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/661855463151901,80692.43,28790.0,25783.0,0.01042,1411.0,0.0,0.895554,57.18811481218993,4.901007294199375
120222294512640375,AI_Actor_15_Script_21,24th April - Actor Pack V3 Script 21 - C5 - 12-22,986448,1770549,1.79487312,USD,72300.63,"7-day click, 1-day view, or 1-day engaged-view",1197457392169521.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1197457392169521,72300.63,16336.0,14634.0,0.014324,1092.0,0.0,0.895813,66.20936813186813,6.68462291870715
120225616072710375,Script_9_Ideas_V3,28th May - Aria Script Other Ideas V3 - 1-10,1636842,2290988,1.39963906,USD,69374.41,"7-day click, 1-day view, or 1-day engaged-view",1202227114722841.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1202227114722841,69374.41,17450.0,15859.0,0.01255,1254.0,0.0,0.908825,55.322496012759174,7.186246418338109
120234115897160495,8_Script_28_(Wife_POV_Scripts_v2),20th Oct - Wife POV V2 - NO-2 Script 28 - AI Variants - 1-10,1002566,1453279,1.44955943,USD,65677.69,1-day click,2029294477817691.2,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/2029294477817691,65677.69,22005.0,19888.0,0.009907,1118.0,0.0,0.903795,58.74569767441861,5.080663485571462
120231452292960375,32_Script_7_(Video_Scripts_June_5),27th Aug - Aria - Script 7 - More Ideas - 26-50,852867,1813172,2.12597275,USD,64256.26,"7-day click, 1-day view, or 1-day engaged-view",751134124567582.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/751134124567582,64256.26,18230.0,16034.0,0.007241,917.0,0.0,0.879539,70.07225736095965,5.030170049369172
120219953866700495,Actor_12_Script_21,3rd April - Actor Pack V3 Script 21 - V2 12-22 - 1,917254,1737565,1.89431172,USD,61604.05,"7-day click, 1-day view, or 1-day engaged-view",9356614751053764.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/9356614751053764,61604.05,16317.0,14258.0,0.010602,1261.0,0.0,0.873813,48.85333068992863,7.728136299564871
120223124211650375,AI_Actor_15_Script_21,30th April - Actor Pack V3 Script 21 - C5 V2 - 12-22,671666,1292418,1.92419744,USD,59119.17,"7-day click, 1-day view, or 1-day engaged-view",1197457392169521.0,2025-01-01,2025-12-31,https://www.facebook.com/100069758216950/videos/1197457392169521,59119.17,12716.0,11197.0,0.011718,869.0,0.0,0.880544,68.0312658227848,6.833910034602077
